,category,id,question,type,flat list,test
7044,resource,dbpedia_22046,What is the river whose source is Lake Ontario?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7055,resource,dbpedia_7934,What is the head quarters of Interpol whose forefather is Saint-Rambert-I'lle-Barbe?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7057,resource,dbpedia_21026,What city is the residence of Cheryl Teigs?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7068,resource,dbpedia_22466,In which time zone is Pong Pha?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7071,resource,dbpedia_1231,which mosque starts with s,"['dbo:Mosque', 'dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Mosque' 'dbo:ReligiousBuilding' 'dbo:Building'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
7082,resource,dbpedia_21517,Where does Kafue and Shire river flow into?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7087,resource,dbpedia_15832,"What is the {death place} of {Vera Kholodnaya}, that {partner city} is {Haifa} ?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7091,resource,dbpedia_10408,When and where did Rajinikanth marry Latha Rajinikanth?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7093,resource,dbpedia_20918,What are the mountains in the Sequoia National Park?,"['dbo:Mountain', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Mountain' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
7094,resource,dbpedia_10744,"""Which is {on shore of} of {Conakry}, that has {tributary} is {Ribeira da Janela} ?""","['dbo:Ocean', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:Ocean' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7103,resource,dbpedia_23380,Which river does the Brooklyn Bridge cross?,"['dbo:River', 'dbo:Place', 'dbo:Location']",['dbo:River' 'dbo:Place' 'dbo:Location'],True
7110,resource,dbpedia_2249,In which country is Beijing?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7114,resource,dbpedia_19702,What is the sea connected to Oulu and Turku?,"['dbo:Lake', 'dbo:Sea', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:Lake' 'dbo:Sea' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7116,resource,dbpedia_14309,What are the capital cities that start with letter W ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7119,resource,dbpedia_18979,In which countries have the Start + Flug aircrafts originated?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7133,resource,dbpedia_3902,What's buried at Jean Pierre Boyer's on the street?,"['dbo:Street', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Street' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7137,resource,dbpedia_12932,Where in Europe did Thomas Nashe die?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7145,resource,dbpedia_13838,What theater is operated by the University of Toronto?,"['dbo:Building', 'dbo:Theatre', 'dbo:Venue', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Building' 'dbo:Theatre' 'dbo:Venue' 'dbo:ArchitecturalStructure'
 'dbo:Place' 'dbo:Location']",True
7148,resource,dbpedia_6521,What is place served by transport hub for Fairbanks ?,"['dbo:Airport', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Airport' 'dbo:Infrastructure' 'dbo:ArchitecturalStructure'
 'dbo:Place' 'dbo:Location']",True
7167,resource,dbpedia_4611,What is the municipal corporation for the capital of Karnataka in India?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7172,resource,dbpedia_6908,Where is the {filming location} and the {narrative location} of {Forrest_Gump} ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7173,resource,dbpedia_16089,What is it?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7180,resource,dbpedia_18799,Which country did the prime minister belong to who was served by Thanong Bidaya ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7181,resource,dbpedia_867,What major event happened to Alfred Doblin and were did it happen?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7192,resource,dbpedia_19922,What is the second track list of Dschinghis Khan (song) ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7200,resource,dbpedia_13823,Which republic has the highest retirement age?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7203,resource,dbpedia_130,Which country housed the Indian Independence Movement?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7213,resource,dbpedia_10389,Which means {type locality (geology)} on{forsterite} ?,"['dbo:Mountain', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Mountain' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
7218,resource,dbpedia_17899,Tell me about the history of sovereign India.,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7241,resource,dbpedia_21887,What is the major shrine of Jacques-Dsir Laval ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7248,resource,dbpedia_9068,What nation has shires of Mikhail Gorbachev?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7250,resource,dbpedia_4343,Which administrative centre of Kingdom of Galicia–Volhynia ?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7252,resource,dbpedia_3217,Which landlocked country has the highest GDP PPP?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7256,resource,dbpedia_9817,Where in Italy was Carla Bruni born??,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7283,resource,dbpedia_22188,To which country is Svetlana Navasardyan from?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7284,resource,dbpedia_13346,What region is the branch of Harran University in?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7289,resource,dbpedia_16022,Who is in the administrative unit of the South Khorasan Province?  Who has administrative divisions in the North Khorasan Province?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7291,resource,dbpedia_9729,What activity of Irini Rodnina has the twin city of Krasnoyarsk?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7294,resource,dbpedia_11710,What is the twin city of Casimir III the Great's death place?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7307,resource,dbpedia_22852,Tirana is the largest city of which country?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7321,resource,dbpedia_22765,What is the citizenship of Saima Chowdhury?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7326,resource,dbpedia_1826,Mount Rushmore is in what mountain range?,"['dbo:MountainRange', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:MountainRange' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
7329,resource,dbpedia_20028,Where did isabelle caro and judson huss both die?,"['dbo:Country', 'dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7330,resource,dbpedia_14050,Which is the tributary in the coast of Pico Island?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7338,resource,dbpedia_20899,Where does the network cofounded by Seewoosagur Ramgoolam air its shows?,"['dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7345,resource,dbpedia_101,What is the district of the city with the MAX(number of houses whose instance of is district of the city?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7348,resource,dbpedia_2412,Which is the country of Iloilo City?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7349,resource,dbpedia_8882,"What is the origin of AIESEC, that borders Ans?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7392,resource,dbpedia_17433,"Which administrative unit is adjacent to Clementi, Singapore?","['dbo:Country', 'dbo:City', 'dbo:State', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:City' 'dbo:State' 'dbo:Settlement' 'dbo:PopulatedPlace'
 'dbo:Place' 'dbo:Location']",True
7393,resource,dbpedia_12759,Which city is the capital of the Austrian Empire?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7396,resource,dbpedia_9315,what is the length of the coastline of norway?,"['dbo:Island', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Island' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7422,resource,dbpedia_5516,who sister city of location born of Shawn Stasiak ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7433,resource,dbpedia_23345,What is the largest city in america?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7469,resource,dbpedia_11660,where did mecca locate in time zone and locate in the administrative territorial entity?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7470,resource,dbpedia_23355,Where is the birthplace of Goethe?,"['dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7479,resource,dbpedia_3943,who country for head of government of mauricio macri?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7489,resource,dbpedia_15772,Where is the Acropolis of Athens located ?,"['dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:ReligiousBuilding' 'dbo:Building' 'dbo:ArchitecturalStructure'
 'dbo:Place' 'dbo:Location']",True
7519,resource,dbpedia_13893,Name the republic with the highest fertility rate ?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7524,resource,dbpedia_22585,Name the river whose source mountain is Baikal Mountains and mouth location is Arctic Ocean?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7526,resource,dbpedia_4916,"What is the diplomatic relation of Ireland, that has people of Chinese Canadian?","['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7549,resource,dbpedia_1040,What place was Oliver Hazard Perry born that has a diplomatic relation to Chile?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7557,resource,dbpedia_3955,What diplomatic ties exist between China and Eritrea?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7562,resource,dbpedia_22671,Where did the office holder  who is predecessor to Marco Aurelio Robles died ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7563,resource,dbpedia_6050,n/a,"['dbo:HistoricalRegion', 'dbo:Region', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:HistoricalRegion' 'dbo:Region' 'dbo:State' 'dbo:PopulatedPlace'
 'dbo:Place' 'dbo:Location']",True
7568,resource,dbpedia_9377,What is the significant landmark in the capital of the Achaemenid Empire?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7582,resource,dbpedia_12678,What city in Ukraine is the twinned administrative body of Vancouver?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7601,resource,dbpedia_12093,What is the place of death of Kurt Vonnegut whose country is United States of America?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7603,resource,dbpedia_15284,where is the ivan Turgenev residence and lived with whom?,"['dbo:Village', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Village' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7605,resource,dbpedia_4900,Which archipelagic state has the highest inflation rate?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7611,resource,dbpedia_9158,Name a town sharing a border with Ottawa.,"['dbo:Town', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Town' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7612,resource,dbpedia_20792,What is the birthplace of the netball player who is the relative of Rachel Rasmussen ?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7615,resource,dbpedia_21144,"Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?","['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7620,resource,dbpedia_7811,"Name a big city that contains the word ""łódź "" in its name","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7632,resource,dbpedia_19747,Where do cherry chevapravatdumrong and daisi pollard both live?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7636,resource,dbpedia_22688,"Which river flows through Hudson Highlands State park and also through Troy, New york ?","['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7638,resource,dbpedia_20115,Who operates the railway line which begins in Minneapolis?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7653,resource,dbpedia_4787,The executive branch of the Government of Islamic Republic of Iran is in what village of the Hormozgan Province?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7668,resource,dbpedia_18736,"Who currently operates the railway lines one of whose stockholder is Chicago, St Paul, Minneapolis and Omaha railway?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7686,resource,dbpedia_9424,"What is the birthplace of Oleg Nikolaenko, the sequel of which is Transcaucasian Socialist Federative Soviet Republic?","['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7688,resource,dbpedia_8948,What is birth place for starring of The 15:17 to Paris ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7702,resource,dbpedia_15684,Name the work location of Augustin-Louis Cauchy that is next to the Baldissero Torinese.,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7708,resource,dbpedia_5639,WHICH IS THE TRIBUTARY OF OUTFLOW OF SENEGAL RIVER?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7721,resource,dbpedia_4072,What is the HQ of Ärztekammer Nordrhein?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7726,resource,dbpedia_18822,Name the river passing through Reading Berkshire and has mouth place at Essex ?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7730,resource,dbpedia_20700,Name the sstadium of 2015 Pro Duta FC season ?,"['dbo:PopulatedPlace', 'dbo:Stadium', 'dbo:SportFacility', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:PopulatedPlace' 'dbo:Stadium' 'dbo:SportFacility'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
7738,resource,dbpedia_17219,"In which country is Ivano-Frankivsk, the birthplace of Svetlana Aleksievich?","['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7752,resource,dbpedia_16801,Where is the birth city of Guo Qiru located in the People's Republic of China?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7758,resource,dbpedia_22891,God Defend New Zealand is the national anthem of which country?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7762,resource,dbpedia_13776,who church building for patron saint of Joseph?,"['dbo:Church', 'dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Church' 'dbo:ReligiousBuilding' 'dbo:Building'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
7773,resource,dbpedia_12389,When and where did Victor Hugo married Adèle Foucher?,"['dbo:Church', 'dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Church' 'dbo:ReligiousBuilding' 'dbo:Building'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
7778,resource,dbpedia_15280,Give me the name of the steel bridge with the highest fee whose instance is also a toll bridge?,"['dbo:Bridge', 'dbo:RouteOfTransportation', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Bridge' 'dbo:RouteOfTransportation' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
7782,resource,dbpedia_3203,Where was the Russian Revolution co-founded by Peter the Great?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7789,resource,dbpedia_4562,"""Where is {deathplace} of {Robert Knox}, which has {partner city} is {New Delhi} ?""","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
7791,resource,dbpedia_15693,What is the river mouth of Orange River's tributary?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
7811,resource,dbpedia_12992,Which historical country that is the  Head of government František Udržal and which that starts with the letter c,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7812,resource,dbpedia_4832,"Is the French economy the main topic of the Court of Cassation, the highest judicial authority?","['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
7831,resource,dbpedia_21044,What is the mountain whose parent mountain peak is Nevado de Toluca?,"['dbo:Mountain', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']",['dbo:Mountain' 'dbo:NaturalPlace' 'dbo:Place' 'dbo:Location'],True
